buyer_wangwang,merchant_no,platform,order_no,issue_type,solution,compensation,factory,batch_no,pattern_batch,designer,handler,batch_source,created_at,page
260314-512890059130354,24181814145,小店,,转绒跑绒起坨,补偿,5,春秋,FY27157,WB44942,刘小落,,同步波次,2026-03-24 23:36:52,1
6951197146523768795,25181813302,天猫,,做工开线等,退货,,三米,FY28595,WD50350,陈丹,舟舟,同步波次,2026-03-24 22:04:00,1
6950916928654022590,25262602119,天猫,,掉色,补偿,20,丰庆,FB28010,WD50017,陈丹,舟舟,同步波次,2026-03-24 21:57:27,1
6951150999434827104,24181801177,抖音,,洗唛和吊牌不符,退货,,元合,fy28361,WA43490,陈丹,贝贝,客服添加波次,2026-03-24 21:55:17,1
6950979006404301833,25262608120,抖音,,污渍,现金补偿,6,乙超,fy28274,WC47887,刘小落,贝贝,客服添加波次,2026-03-24 21:53:26,1
6925024370924944908,25181806105,天猫,,扣子,退货,,元合,FY27809,WD51549,陈丹,舟舟,同步波次,2026-03-24 21:19:09,1
6924493610993483186,25070705047,天猫,,起球勾线掉毛,,,浩迅,WD50100,WD50100,庞潇潇,舟舟,同步波次,2026-03-24 20:40:58,1
6925019605932211899,24181805102,天猫,,污渍,,,浩迅,HB10686,WB43763,刘小落,舟舟,同步波次,2026-03-24 20:30:45,1
6951453301152946143,25181813383,天猫,,其他,补偿,5,三米,FY28102,WD51183,陈丹,舟舟,同步波次,2026-03-24 20:30:06,1
6924505777341955570,25181805139,天猫,,起球勾线掉毛,补偿,15,元合,WD51152,WD51150,庞潇潇,天天,客服添加波次,2026-03-24 20:18:24,1
6924901826848390854,24070710008,天猫,,其他,补偿,20,乙超,FY26275,WB44607,陈丹,天天,客服添加波次,2026-03-24 20:03:59,1
6924886945485586238,24181817022,抖音,,做工开线等,补偿,20,浩迅,hy11776,WA42661,陈丹,贝贝,客服添加波次,2026-03-24 19:45:42,1
6951006090927281265,25181801113,抖音,,做工开线等,现金补偿,8,易茂,fy28321,WC47587,庞潇潇,贝贝,客服添加波次,2026-03-24 19:44:57,1
6924614575556099460,2537372031,天猫,,污渍,退货,,爱探索,FY28315,WC47589,庞潇潇,天天,客服添加波次,2026-03-24 19:20:46,1
6951486997725779502,25262624012,天猫,,污渍,补偿,10,乙超,FY28036,WD50259,陈丹,天天,客服添加波次,2026-03-24 19:05:02,1
6951208536587637888,25262608021,抖音,,污渍,现金补偿,6,爱探索,fy23826,WC46718,刘小落,贝贝,客服添加波次,2026-03-24 19:00:14,2
6951062992361494351,25181801130,抖音,,尺码不符,,,爱探索,fy28378,WC47608,庞潇潇,贝贝,客服添加波次,2026-03-24 18:58:27,2
6924921314363342079,24181805098,抖音,,拉链,平台补偿,14,浩迅,hb10685,WB43763,刘小落,贝贝,客服添加波次,2026-03-24 18:56:54,2
6924803374293417812,26070705039,天猫,,污渍,,,,,,,舟舟,,2026-03-24 18:44:13,2
6925019064051793607,24181809289,天猫,,拉链,补偿,15,春秋,FY26265,WB45310,刘小落,舟舟,同步波次,2026-03-24 18:10:36,2
6951213552270579348,25262608220,天猫,,破洞,补偿,10,茉弥,FY26024,WD51468,刘小落,舟舟,同步波次,2026-03-24 17:59:33,2
6951368214067025138,25181809320,天猫,,起球勾线掉毛,补偿,15,乙超,FY27294,WD51662,刘小落,天天,客服添加波次,2026-03-24 17:09:53,2
6951058530069386515,25262608123,天猫,,掉色,补偿,8,朗玛,FY28273,WC47887,刘小落,糖糖,客服添加波次,2026-03-24 16:54:17,2
6951470222323619305,25181804041,天猫,,做工开线等,退货,,三米,FY28055,WC46386,陈丹,丽丽,客服添加波次,2026-03-24 16:46:43,2
6924590363093860097,2537372032,抖音,,做工开线等,现金补偿,10,爱探索,fy28316,WC47589,庞潇潇,贝贝,客服添加波次,2026-03-24 16:33:42,2
260315-670564411770354,24181814061,小店,,做工开线等,补偿,5,朗玛,FY27890,WB44942,刘小落,,同步波次,2026-03-24 16:33:36,2
